epoch, train_loss, val_loss, mae_r, mae_l, mae_t, rmse_r, rmse_l, rmse_t, avg_mae, avg_rmse
1, 5.5887, 34.5344, 24.9051, 25.1409, 55.0573, 25.0957, 25.3045, 55.2029, 35.0344, 35.2010
2, 2.8151, 10.2772, 10.0254, 5.3869, 16.9090, 10.4293, 6.0213, 17.2388, 10.7737, 11.2298
3, 2.6655, 5.2309, 6.6352, 2.4187, 8.0827, 7.2049, 3.1647, 8.6064, 5.7122, 6.3253
4, 2.2455, 2.9451, 4.0654, 3.6477, 2.5139, 5.0208, 4.3983, 3.1230, 3.4090, 4.1807
5, 2.0330, 1.9270, 2.0715, 2.7082, 2.3676, 2.4903, 3.3929, 2.8509, 2.3824, 2.9114
6, 1.8314, 3.4082, 2.7364, 3.5626, 5.3585, 3.3600, 4.3327, 5.9418, 3.8858, 4.5448
7, 1.6818, 1.9423, 2.1278, 2.6746, 2.4038, 2.5221, 3.3440, 2.8240, 2.4021, 2.8967
8, 1.5545, 2.1030, 2.3799, 2.7908, 2.5104, 2.9466, 3.4478, 3.0578, 2.5604, 3.1507
9, 1.4170, 2.2234, 2.8408, 2.9164, 2.2954, 3.6010, 3.5360, 2.8475, 2.6842, 3.3281
10, 1.3913, 2.0268, 2.2945, 2.7575, 2.3920, 2.7439, 3.5777, 2.8472, 2.4813, 3.0563
11, 1.3786, 8.1631, 12.2267, 3.4659, 10.2688, 12.8869, 4.2361, 10.7035, 8.6538, 9.2755
12, 1.3121, 2.2993, 2.4413, 3.5450, 2.3108, 2.9778, 4.2338, 2.7773, 2.7657, 3.3296
13, 1.3702, 5.4549, 5.4825, 3.6002, 8.7389, 6.3725, 4.4291, 9.1696, 5.9406, 6.6571
14, 1.1955, 1.9709, 2.0146, 2.5779, 2.6688, 2.5083, 3.2800, 3.2514, 2.4205, 3.0133
15, 1.2910, 3.0879, 3.1568, 2.8116, 4.7159, 3.9163, 3.4852, 5.2681, 3.5614, 4.2232
16, 1.2265, 2.9756, 3.8078, 2.6175, 3.9097, 4.7232, 3.3128, 4.4795, 3.4450, 4.1718
17, 1.0505, 1.6990, 2.0128, 2.4619, 1.9940, 2.2898, 3.1229, 2.3602, 2.1562, 2.5910
18, 1.0224, 1.7046, 1.8851, 2.4994, 2.0765, 2.1914, 3.2459, 2.5008, 2.1537, 2.6461
19, 1.1353, 1.7768, 1.7855, 2.6302, 2.2530, 2.1447, 3.3530, 2.7856, 2.2229, 2.7611
20, 1.0301, 1.7819, 1.7997, 2.9002, 2.0089, 2.1544, 3.5617, 2.4697, 2.2363, 2.7286
21, 0.9502, 1.8741, 2.0406, 2.4637, 2.4689, 2.5318, 3.1276, 2.9845, 2.3244, 2.8813
22, 0.9062, 2.1279, 2.0492, 3.0864, 2.6211, 2.4048, 3.8016, 3.2790, 2.5856, 3.1618
23, 0.8154, 2.5543, 3.1157, 2.7847, 3.1598, 3.9404, 3.4276, 3.8117, 3.0200, 3.7266
24, 0.7440, 2.6838, 2.1086, 4.1272, 3.2349, 2.5197, 4.8808, 3.9444, 3.1569, 3.7817
25, 0.6390, 1.7921, 1.9608, 2.7159, 2.0565, 2.4083, 3.3724, 2.4404, 2.2444, 2.7404
26, 0.6267, 1.7869, 1.7958, 2.7988, 2.1317, 2.1417, 3.3848, 2.5756, 2.2421, 2.7007
27, 0.6842, 2.8673, 4.0603, 2.8597, 3.1086, 4.8194, 3.4762, 3.6501, 3.3429, 3.9819
28, 0.6920, 1.7566, 1.9458, 2.6383, 2.0369, 2.3378, 3.3779, 2.4524, 2.2070, 2.7227
29, 0.6305, 1.9576, 2.0322, 2.6404, 2.5623, 2.4548, 3.3317, 3.1196, 2.4116, 2.9687
30, 0.6074, 2.0318, 2.4449, 2.8540, 2.1833, 2.9478, 3.5279, 2.6220, 2.4941, 3.0325
