epoch, train_loss, train_acc, val_loss, val_acc, epoch_time
1, 1.292153177857399, 78.14, 0.3647887259721756, 87.36, 2.3615963459014893
2, 0.8373141920566559, 85.442, 0.29341289177536967, 89.22, 2.3785393238067627
3, 0.7416677224636078, 87.28399999999999, 0.2819886051118374, 90.05, 2.264831066131592
4, 0.684797556400299, 88.56, 0.2612388081848621, 91.14, 2.3186330795288086
5, 0.654841935634613, 89.152, 0.23715717494487762, 91.60000000000001, 2.282334089279175
6, 0.625233782529831, 89.96, 0.22729025334119796, 92.16, 2.2626633644104004
7, 0.6104609143733978, 90.148, 0.2297128178179264, 91.63, 2.285342216491699
8, 0.595140995979309, 90.58, 0.218200621008873, 92.4, 2.3191044330596924
9, 0.5717740422487259, 91.29, 0.21357933208346366, 92.15, 2.309561014175415
10, 0.5643714839220046, 91.386, 0.20536244064569473, 93.05, 2.303426504135132
11, 0.5619205915927887, 91.906, 0.21357595473527907, 92.23, 2.2798027992248535
12, 0.5477011936903, 92.25999999999999, 0.22526081278920174, 91.97, 2.2773358821868896
13, 0.5455972072482109, 92.376, 0.21384451761841775, 92.44, 2.2922744750976562
14, 0.5324821206927299, 92.728, 0.21357009261846543, 92.84, 2.299355983734131
15, 0.5207076862454414, 93.156, 0.20261745601892472, 93.10000000000001, 2.3482980728149414
16, 0.5132782560586929, 93.27, 0.20517686754465103, 93.21000000000001, 2.2880923748016357
17, 0.5121628829836845, 93.386, 0.19410259574651717, 93.58999999999999, 2.2908222675323486
18, 0.4935981819033623, 93.938, 0.21325907334685326, 92.81, 2.259336471557617
19, 0.4937978577613831, 93.798, 0.2057839959859848, 93.33, 2.2878029346466064
20, 0.4794281035661697, 94.28, 0.2085234448313713, 93.22, 2.2967617511749268
21, 0.49356812983751297, 94.34, 0.20159167796373367, 93.34, 2.2897565364837646
22, 0.48232078820466995, 94.666, 0.1956615962088108, 93.66, 2.2654478549957275
23, 0.4809344860911369, 94.76599999999999, 0.2023774765431881, 93.57, 2.3014397621154785
24, 0.4772985276579857, 94.8, 0.20856666341423988, 93.63, 2.2833797931671143
25, 0.4743006467819214, 94.722, 0.1955646403133869, 94.07, 2.287771463394165
26, 0.46873479008674623, 95.068, 0.19470119029283522, 94.14, 2.2796547412872314
27, 0.46460929960012437, 95.078, 0.21748015582561492, 93.57, 2.291016101837158
28, 0.4568080785870552, 95.404, 0.20397963225841523, 93.87, 2.274010419845581
29, 0.4562851551175118, 95.232, 0.20068517401814462, 93.88, 2.2798242568969727
30, 0.4494125783443451, 95.39800000000001, 0.20600675530731677, 93.97, 2.31683349609375
31, 0.466056487262249, 95.314, 0.21130486354231834, 93.91000000000001, 2.3799612522125244
32, 0.465466645359993, 95.514, 0.20767238438129426, 93.67, 2.3170440196990967
33, 0.4526184466481209, 95.80199999999999, 0.20626761205494404, 93.84, 2.4039599895477295
34, 0.45049090653657914, 95.868, 0.21211759820580484, 94.01, 2.325413227081299
35, 0.451742402613163, 95.82000000000001, 0.21631478816270827, 93.71000000000001, 2.282869338989258
36, 0.44535806864500044, 95.93199999999999, 0.21612675860524178, 94.08999999999999, 2.2655177116394043
37, 0.44461605191230774, 95.93199999999999, 0.22817313596606253, 93.81, 2.2640151977539062
38, 0.44096697807312013, 96.14399999999999, 0.22024856582283975, 93.77, 2.273979902267456
39, 0.43894708544015887, 96.158, 0.239932681620121, 93.58999999999999, 2.279874801635742
40, 0.4350475254654884, 96.202, 0.21465162485837935, 93.97999999999999, 2.2694857120513916
41, 0.4463992995023727, 96.444, 0.2240847244858742, 93.96, 2.3120524883270264
42, 0.4457759103178978, 96.342, 0.23039745911955833, 94.02000000000001, 2.321383476257324
43, 0.44381798058748245, 96.38799999999999, 0.21682479679584504, 94.04, 2.286977767944336
44, 0.4455535438656807, 96.316, 0.24273166358470916, 93.62, 2.2482762336730957
45, 0.43828266352415085, 96.55799999999999, 0.24209491536021233, 93.85, 2.2840192317962646
46, 0.4375410485267639, 96.476, 0.23772360906004905, 93.56, 2.2064108848571777
47, 0.43548393398523333, 96.524, 0.2701721638441086, 93.54, 2.214275360107422
